thermal_age,assimilation,lai,carbon_pool,rp_demand,rp_rgr,rp_canopy,rp_root,rp_storage
0.25,0.0,0.0003968994389452009,0.029985742701826634,1.4257298173365085e-05,0.0043152530041835275,0.013229981298173365,0.013215724,0.013215724
0.51125,0.0,0.00039734688719246974,0.029970827760251006,1.4914941575627212e-05,0.004315250654574142,0.013244896239748992,0.013215724,0.013215724
0.8058333333333334,0.0,0.0003978519946113311,0.029953990846288962,1.6836913962043433e-05,0.004315248001996307,0.013261733153711036,0.013215724,0.013215724
1.1533333333333333,0.0,0.0003984485926117578,0.029934104246274736,1.9886600014224685e-05,0.004315244868594034,0.01328161975372526,0.013215724,0.013215724
1.57,0.0,0.0003991650100055891,0.02991022366648036,2.388057979437782e-05,0.004315241105320108,0.013305500333519639,0.013215724,0.013215724
2.0670833333333336,0.0,0.0004000212318038349,0.02988168293987217,2.8540726608190914e-05,0.004315236606878299,0.01333404106012783,0.013215724,0.013215724
2.650416666666667,0.0,0.0004010281725558897,0.029848118248137007,3.35646917351624e-05,0.004315231315587464,0.013367605751862991,0.013215724,0.013215724
3.3200000000000003,5.451209564924964,0.0004021869045168766,0.029824604093644114,3.862439869956165e-05,0.00431522522550783,0.013406230150562554,0.013215724,0.013215724
4.07,14.56625650354593,0.00040348854775973543,0.02982170836838876,4.3388108095295246e-05,0.004315218383096269,0.013449618258657849,0.013215724,0.013215724
4.889166666666667,17.692511296208384,0.00040491483011311375,0.029823507496687617,4.754274511260928e-05,0.0043152108843288375,0.013497161003770458,0.013215724,0.013215724
5.76125,17.736345716650668,0.00040643861228475666,0.02982235336408292,5.0792739054763674e-05,0.004315202871984389,0.013547953742825223,0.013215724,0.013215724
6.666666666666667,17.252627148391362,0.0004080265878745478,0.029817887080532863,5.2932519659705276e-05,0.004315194521438165,0.013600886262484927,0.013215724,0.013215724
7.583333333333334,17.084100300815827,0.0004096405726218635,0.029812268105789772,5.379949157718999e-05,0.004315186033848996,0.013654685754062118,0.013215724,0.013215724
8.48875,17.47655818176045,0.00041124105215809193,0.029808401071553536,5.334931787427938e-05,0.004315177617419573,0.013708035071936398,0.013215724,0.013215724
9.360833333333332,18.320433941421737,0.00041278862929725957,0.029808889229587826,5.158590463892067e-05,0.004315169479711542,0.013759620976575319,0.013215724,0.013215724
10.179999999999998,19.321128635148053,0.0004142477696993328,0.029768677774100923,4.86380134024414e-05,0.004315161807857874,0.01380825898997776,0.013262421752676699,0.013215724
10.929999999999998,19.900631361317682,0.00041558842712575213,0.029738059422775926,4.468858088064464e-05,0.004315154759971819,0.013852947570858405,0.013305327513236868,0.013215724
11.599583333333332,19.281139734040227,0.00041678920816355517,0.02971497690744401,4.0026034593434406e-05,0.004315148448484431,0.01389297360545184,0.013343756647341963,0.013215724
12.182916666666666,5.697650774976829,0.0004178383360843275,0.02966284193817815,3.497093069241091e-05,0.004315142935112925,0.01392794453614425,0.01337733228969324,0.013215724
12.68,0.0,0.0004187345923344707,0.029604283549055126,2.987520833810655e-05,0.0043151382259741045,0.013957819744482356,0.013406015470478155,0.013215724
13.096666666666666,0.0,0.00041948746566354794,0.029555093357277778,2.5095777635910485e-05,0.004315134270880274,0.013982915522118266,0.013430109884619594,0.013215724
13.444166666666666,0.0,0.00042011649047882243,0.029513995033075863,2.0967493842482235e-05,0.0043151309668919965,0.014003883015960748,0.013450240714979028,0.013215724
13.73875,0.0,0.0004206505277892849,0.029479102884840274,1.7801243682080253e-05,0.004315128162148263,0.01402168425964283,0.013467331619532535,0.013215724
14.0,0.0,0.00042112473831089104,0.029448119625757867,1.5807017386872185e-05,0.0043151256717897865,0.014037491277029702,0.013482507861228068,0.013215724
14.25,0.0,0.00042157903960204457,0.02941843717858358,1.514337637178348e-05,0.004315123286042826,0.014052634653401485,0.013497046932030571,0.013215724
14.51125,0.0,0.0004220542963220511,0.029387385590369644,1.5841890666884348e-05,0.004315120790187108,0.01406847654406837,0.013512256629577626,0.013215724
14.805833333333334,0.0,0.0004225907956362839,0.029352332644164654,1.788331047442705e-05,0.00431511797250553,0.014086359854542797,0.013529426265308188,0.013215724
15.153333333333334,0.0,0.00042322447152270216,0.029310930550002806,2.112252954727672e-05,0.004315114644071957,0.014107482384090073,0.01354970582992276,0.013215724
15.57,0.0,0.0004239854133655994,0.029261213388845724,2.536472809657346e-05,0.004315110646562238,0.014132847112186648,0.013574058262983269,0.013215724
16.067083333333333,0.0,0.0004248948481741995,0.029201794284012796,3.031449362000301e-05,0.004315105868126478,0.01416316160580665,0.013603162874196193,0.013215724
16.650416666666665,0.0,0.0004259643687618334,0.02913191582871493,3.565068625446338e-05,0.004315100247493636,0.014198812292061113,0.013637390643239591,0.013215724
17.319999999999997,5.451150750079351,0.00042719511394903923,0.029067553282822615,4.102483957352804e-05,0.00431509377835462,0.01423983713163464,0.0136767779855107,0.013215724
18.069999999999997,14.566175159350395,0.00042857765185406245,0.029020233594511925,4.608459683410805e-05,0.004315086510058311,0.014285921728468749,0.013721023020270555,0.013215724
18.889166666666664,17.692475966658957,0.00043009257464096077,0.02897366438299964,5.049742622994307e-05,0.0043150785445549384,0.014336419154698693,0.013769504608791783,0.013215724
19.761249999999997,17.736331920081632,0.0004317110562917611,0.028920644414108562,5.394938836001113e-05,0.004315070033510553,0.014390368543058705,0.013821300210078545,0.013215724
20.666666666666664,17.252620700490898,0.0004333977204327922,0.02886192457217641,5.622213803436967e-05,0.004315061163216319,0.014446590681093075,0.013875277664399428,0.013215724
21.583333333333332,17.084094920809004,0.00043511200971665216,0.028801096514633157,5.714297612866378e-05,0.004315052147351614,0.014503733657221738,0.013930139021530754,0.013215724
22.48875,17.47655245568032,0.0004368119540648901,0.028742588564265637,5.6664811607930864e-05,0.004315043207077883,0.01456039846882967,0.013984541136604337,0.013215724
23.360833333333332,18.32042626288808,0.00043845570790476766,0.028690504921890105,5.479179466258538e-05,0.0043150345628754205,0.014615190263492256,0.014037144865836152,0.013215724
24.18,19.321118478717633,0.000440005528609298,0.028647798433160513,5.1660690151011735e-05,0.004315026413524155,0.014666850953643267,0.014086742383857969,0.013215724
24.93,19.900619484804135,0.00044142950274724105,0.028615280949998607,4.7465804598101504e-05,0.004315018926977953,0.014714316758241369,0.01413231242353262,0.013215724
25.59958333333333,19.281130184996307,0.00044270490747039834,0.028590766827944838,4.2513490771910223e-05,0.004315012222665135,0.014756830249013279,0.01417312784208191,0.013215724
26.182916666666664,5.69764033820787,0.00044381923425859877,0.028535393939711783,3.714422627334692e-05,0.004315006366143733,0.014793974475286626,0.014208788377208943,0.013215724
26.679999999999996,0.0,0.00044477118890742323,0.028473197851717605,3.173182162748306e-05,0.004315001363910857,0.014825706296914109,0.014239252643575638,0.013215724
27.096666666666664,0.0,0.0004455708499149925,0.028420951930692214,2.665536691897418e-05,0.004314997162654816,0.014852361663833084,0.014264843197682054,0.013215724
27.444166666666664,0.0,0.0004462389657127944,0.0283773005559864,2.227052659339622e-05,0.0043149936530290384,0.01487463219042648,0.014286224045794474,0.013215724
27.738749999999996,0.0,0.00044680619092176863,0.028340240892776602,1.890750696580731e-05,0.004314990673720638,0.014893539697392289,0.014304376202038463,0.013215724
27.999999999999996,0.0,0.00044730987135082966,0.028307332944000996,1.67893476353657e-05,0.0043149880283647425,0.014910329045027655,0.014320494803178704,0.013215724
28.249999999999996,0.0,0.00044779240525239476,0.02827580661700632,1.6084463385505332e-05,0.004314985494131461,0.01492641350841316,0.014335936666787872,0.013215724
28.511249999999997,0.0,0.0004482971968250011,0.02824282610082046,1.682638575354282e-05,0.004314982842936555,0.014943239894166703,0.014352090797220192,0.013215724
28.80583333333333,0.0,0.0004488670368722259,0.028205595665760728,1.8994668240827583e-05,0.004314979849885948,0.01496223456240753,0.014370326564039094,0.013215724
29.15333333333333,0.0,0.00044954009246697495,0.028161621679033976,2.243518649163624e-05,0.004314976314295086,0.014984669748899166,0.01439186536427421,0.013215724
29.569999999999997,0.0,0.00045034832285965616,0.028108816102090345,2.6941013089373506e-05,0.004314972067986115,0.01501161076198854,0.014417729928128469,0.013215724
30.06708333333333,0.0,0.0004513142741557785,0.028045705910437247,3.219837653741125e-05,0.004314966992148033,0.015043809138525951,0.014448641743244159,0.013215724
30.65041666666666,0.0,0.00045245025953166376,0.0279714866536137,3.786617919617444e-05,0.004314961021696744,0.015081675317722126,0.014484994820871532,0.013215724
31.319999999999993,5.451088281990275,0.0004537574884961973,0.027903126728064075,4.357429881778593e-05,0.0043149541499309255,0.015125249616539911,0.014526827832901785,0.013215724
32.06999999999999,14.566088761059788,0.00045522594293725363,0.027852869855597675,4.894848136854481e-05,0.004314946429271328,0.015174198097908456,0.014573820148780654,0.013215724
32.88916666666666,17.69243844188561,0.00045683500884243395,0.027803410788416312,5.3635530172677126e-05,0.004314937968013843,0.015227833628081132,0.014625312056484457,0.013215724
33.76125,17.736317266316867,0.0004585540687485107,0.027747100345961832,5.73019968692246e-05,0.004314928927264313,0.015285135624950357,0.014680323727787947,0.013215724
34.666666666666664,17.25261385199486,0.00046034554780037854,0.027684735928463697,5.971596839559445e-05,0.004314919504908525,0.015344851593345952,0.014737652701654386,0.013215724
35.58333333333333,17.084089206554793,0.00046216636824365174,0.027620132373381907,6.069401477577343e-05,0.004314909927924852,0.015405545608121725,0.01479592043453323,0.013215724
36.488749999999996,17.476546373853946,0.00046397195184587716,0.02755799315859375,6.018612007418115e-05,0.004314900431239158,0.015465731728195906,0.01485370038455214,0.013215724
37.36083333333333,18.320418107307965,0.0004657178526631817,0.027502677483262503,5.819669391015194e-05,0.004314891249053523,0.015523928422106058,0.014909570261912313,0.013215724
38.18,19.32110769130115,0.0004673639827064638,0.027457321589052387,5.4871001442734756e-05,0.004314882592518888,0.015578799423548792,0.01496224725108317,0.013215724
38.93,19.900606870430693,0.00046887644545395043,0.027422787557459596,5.0415424916222594e-05,0.004314874640041477,0.015629214848465016,0.015010646679827124,0.013215724
39.599583333333335,19.28112004209355,0.0004702311061079861,0.027396753331428058,4.515535513452002e-05,0.004314867518481829,0.015674370203599537,0.015053996263203246,0.013215724
